Category,Factors,Score G1,Score G2,Score G3,Err Low G1,Err Low G2,Err Low G3,Err High G1,Err High G2,Err High G3
Often Care Adult,0,0.0016049717020048685,0.0014823342437291403,-0.0035316302705490285,-0.0011086140198447339,-0.0011741074112479252,-0.005896598573490586,0.004318557423854471,0.004138775898706206,-0.0011666619676074705
Often Care Adult,1,-0.012761381682007866,-0.011786272020190818,0.0280805460843397,-0.034477154414641276,-0.03260552423345152,0.010851848348749384,0.008954391050625548,0.009032980193069879,0.04530924381993001
Often Do Activities With Grandchildren,0,-0.009782008785644253,0.007867999249903796,0.0011752431571602556,-0.014119659777605553,0.005244246457655206,-0.004725104143423833,-0.005444357793682952,0.010491752042152386,0.007075590457744344
Often Do Activities With Grandchildren,1,0.031156638560044796,-0.025060334149333008,-0.003743262459705139,0.017536048070746664,-0.033409877181882736,-0.021817028373076638,0.04477722904934293,-0.01671079111678328,0.01433050345366636
Often Volunteer Youth,0,0.0024660392324667257,-0.0001612749315776209,-0.0023592436238219234,0.001603287287409866,-0.0014349295213340392,-0.0040410801027308905,0.0033287911775235855,0.0011123796581787974,-0.0006774071449129565
Often Volunteer Youth,1,-0.04926136201722688,0.0032216124886228466,0.04712802323249095,-0.06687545364867928,-0.02132047711586801,0.018109384636074994,-0.03164727038577449,0.027763702093113702,0.0761466618289069
Often Charity Work,0,0.006455367151125326,-0.005581271886209806,-0.0002929299610310793,0.004736934185949906,-0.0073043339153889345,-0.002672430982276067,0.008173800116300745,-0.003858209857030677,0.0020865710602139083
Often Charity Work,1,-0.05926857559805123,0.05124325649911926,0.002689473911221015,-0.07683764339082537,0.035375384072872815,-0.017195114573099864,-0.04169950780527709,0.0671111289253657,0.022574062395541897
Often Education,0,0.002421932879459746,-0.0019169010093146263,-0.00015901558482426387,0.00030973281374439485,-0.0035911685057355555,-0.00221028744563427,0.004534132945175097,-0.00024263351289369704,0.0018922562759857422
Often Education,1,-0.0819097699833286,0.06482959213502067,0.005377907078756575,-0.16265314046406595,0.008974400692136793,-0.062124233367472304,-0.0011663995025912588,0.12068478357790455,0.07288004752498545
Often Attend Sports/Social/Club,0,0.013420855146599565,-0.009770256669817252,-0.0023624688742827906,0.012156131709781776,-0.011947503179238891,-0.004934620088659679,0.014685578583417354,-0.0075930101603956125,0.0002096823400940975
Often Attend Sports/Social/Club,1,-0.08041733284629138,0.05854306406171622,0.01415583759208805,-0.0895007974146368,0.04548786231429765,0.0003166729483219232,-0.07133386827794595,0.0715982658091348,0.027995002235854174
Often Attend Non Religious Orgs,0,-0.004673449522085238,0.0073287818868651555,-0.0034398408575983096,-0.00702428641129926,0.005640327710658576,-0.0044970305702237735,-0.0023226126328712176,0.009017236063071735,-0.002382651144972846
Often Attend Non Religious Orgs,1,0.10309443945739026,-0.16167001632548234,0.07588152249443686,0.05229120571693733,-0.1999897596633588,0.05484636341567975,0.1538976731978432,-0.12335027298760586,0.09691668157319397
Often Pray Privately,0,0.03630199351737868,-0.00195043848657669,-0.03968594486319112,0.026045162738383684,-0.008726654641385317,-0.04994841238212952,0.046558824296373674,0.0048257776682319375,-0.029423477344252713
Often Pray Privately,1,-0.02449817070941909,0.0013162410758379489,0.026781808871119354,-0.0318224355373954,-0.003322411737477213,0.020213467751598196,-0.017173905881442776,0.005954893889153111,0.03335014999064051
Often Read,0,0.08991908487428625,0.021149331842374792,-0.14986822501314725,0.07817354766713872,-0.0015567276535460896,-0.17673426919042123,0.10166462208143379,0.04385539133829568,-0.12300218083587326
Often Read,1,-0.019402931023850874,-0.004563647722970538,0.03233888374934533,-0.022254358892966633,-0.00934918810494826,0.027898609888648573,-0.016551503154735116,0.0002218926590071826,0.036779157610042086
Often Watch Television,0,0.062060148356386124,0.08687621645039195,-0.18998511971747642,0.007976015478129879,0.02742249129166212,-0.27149795763545576,0.11614428123464238,0.14632994160912177,-0.10847228179949707
Often Watch Television,1,-0.0016091022555574483,-0.0022525359598215954,0.004925954783482005,-0.003059189324661865,-0.003721893066105278,0.0030753657962577846,-0.0001590151864530316,-0.0007831788535379131,0.006776543770706225
Often Do Word Games,0,0.0816750494546533,-0.02134625815393832,-0.06419966608442325,0.06630916484557724,-0.033448570017597226,-0.07240023296800233,0.09704093406372936,-0.009243946290279415,-0.05599909920084417
Often Do Word Games,1,-0.1292986317034348,0.03379296357604182,0.10163359601198754,-0.15848243380895063,0.014614466967789137,0.09056036205198889,-0.10011482959791898,0.05297146018429451,0.1127068299719862
